,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Castro,-24.79,-50.01,57.54,88,97,3.42,BR,1595802352
60,Hobart,-42.88,147.33,45.0,87,75,3.36,AU,1595802389
61,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595802366
62,Sur,22.57,59.53,87.89,61,93,9.98,OM,1595802275
63,Thunder Bay,48.4,-89.32,82.4,65,75,5.82,CA,1595802306
64,Kipini,-2.53,40.53,76.71,80,2,19.26,KE,1595802518
65,Disna,55.57,28.2,57.81,87,0,5.39,BY,1595802519
66,Tasiilaq,65.61,-37.64,44.6,81,79,6.93,GL,1595802383
67,Bambanglipuro,-7.95,110.28,70.81,90,18,6.08,ID,1595802520
68,Butaritari,3.07,172.79,83.52,74,1,13.06,KI,1595802361
69,Tuktoyaktuk,69.45,-133.04,66.2,63,75,6.93,CA,1595802385
70,New Norfolk,-42.78,147.06,45.0,86,100,2.3,AU,1595802354
71,Tupik,54.43,119.93,63.03,93,100,3.6,RU,1595802521
72,Busselton,-33.65,115.33,63.0,82,59,18.63,AU,1595802353
73,Tokuyama,34.05,131.82,77.0,94,90,8.28,JP,1595802522
74,Saint Anthony,45.02,-93.22,87.8,58,20,9.17,US,1595802438
75,Pemangkat,1.17,108.97,75.51,89,37,4.68,ID,1595802523
76,Hithadhoo,-0.6,73.08,82.44,69,97,9.04,MV,1595802385
77,Alaca,40.17,34.84,68.47,47,0,4.25,TR,1595802524
78,Suntar,62.14,117.63,58.41,85,57,1.74,RU,1595802524
79,Beringovskiy,63.05,179.32,65.84,65,45,4.21,RU,1595802385
80,Camapuã,-19.53,-54.04,76.84,34,25,7.56,BR,1595802525
81,Suárez,2.95,-76.7,73.6,75,50,4.88,CO,1595802525
82,Sittwe,20.15,92.9,82.24,85,100,6.26,MM,1595802525
83,Santiago de Cao,-7.96,-79.24,62.6,80,9,11.97,PE,1595802526
84,Arrondissement de Saint-Denis,48.92,2.33,70.0,60,85,3.36,FR,1595802390
85,Sars,56.55,57.14,54.18,92,93,6.93,RU,1595802526
86,George Town,5.41,100.34,80.01,94,20,4.7,MY,1595802307
87,Saint George,37.1,-113.58,102.0,12,1,6.93,US,1595802362
88,Thompson,55.74,-97.86,59.0,87,90,10.29,CA,1595802152
89,Faanui,-16.48,-151.75,79.02,81,43,16.58,PF,1595802369
90,Māyakonda,14.28,76.08,70.11,89,92,9.51,IN,1595802528
91,Muş Province,39.0,41.75,63.75,32,0,2.1,TR,1595802528
92,Bambous Virieux,-20.34,57.76,70.0,77,75,12.75,MU,1595802353
93,Boguchany,58.38,97.45,54.66,93,91,2.59,RU,1595802530
94,Bud,39.45,-86.18,89.01,62,40,4.7,US,1595802530
95,Broome,42.25,-75.83,86.0,48,40,5.82,US,1595802460
96,Olafsvik,64.89,-23.71,48.69,72,86,10.33,IS,1595802531
97,Xining,36.62,101.77,55.06,56,40,2.98,CN,1595802419
98,Dukat,62.55,155.55,68.22,38,0,10.45,RU,1595802233
99,San Quintín,30.48,-115.95,74.08,65,4,14.18,MX,1595802400
100,Pericos,25.05,-107.7,95.0,65,90,7.0,MX,1595802532
101,Adrar,20.5,-10.07,95.92,26,0,7.92,MR,1595802373
102,Labuhan,-6.88,112.21,72.28,87,55,8.95,ID,1595802388
103,Severo-Yeniseyskiy,60.37,93.04,46.24,97,0,0.78,RU,1595802533
104,Kahului,20.89,-156.47,78.8,83,90,9.17,US,1595802534
105,Turukhansk,65.82,87.98,49.26,77,90,10.47,RU,1595802534
106,Iqaluit,63.75,-68.51,53.6,76,40,3.36,CA,1595802374
107,Paratinga,-12.69,-43.18,84.2,39,33,8.05,BR,1595802535
108,Touros,-5.2,-35.46,73.4,88,75,6.93,BR,1595802436
109,Arraial do Cabo,-22.97,-42.03,71.6,94,20,3.36,BR,1595802372
110,Casma,-41.01,-73.12,46.4,75,40,8.05,CL,1595802536
111,Kindu,-2.95,25.95,73.54,40,0,1.83,CD,1595802410
112,Kaihua,23.37,104.28,65.98,84,100,3.89,CN,1595802537
113,Vagay,57.94,69.02,52.25,90,10,4.27,RU,1595802537
114,Dingle,11.0,122.67,76.44,87,14,2.51,PH,1595802230
115,Nouadhibou,20.93,-17.03,69.8,88,0,25.28,MR,1595802538
116,Al Bardīyah,31.76,25.09,75.49,88,0,9.91,LY,1595802539
117,Clyde River,70.47,-68.59,46.4,81,1,6.93,CA,1595802382
118,Rio Grande,-32.03,-52.1,52.0,84,99,3.0,BR,1595802540
119,Khatanga,71.97,102.5,41.04,81,100,10.11,RU,1595802358
120,Platonovka,52.71,41.95,58.78,70,0,5.79,RU,1595802541
121,Salalah,17.02,54.09,78.8,94,75,3.36,OM,1595802389
122,Colares,38.8,-9.45,69.01,68,0,23.0,PT,1595802542
123,Dikson,73.51,80.55,38.1,92,90,15.14,RU,1595802175
124,Kuching,1.55,110.33,77.0,100,40,2.24,MY,1595802542
125,Biloela,-24.42,150.5,53.69,67,37,1.34,AU,1595802542
126,Flinders,-34.58,150.86,62.01,95,100,13.0,AU,1595802351
127,Bethel,41.37,-73.41,86.0,45,1,8.05,US,1595802355
128,Singaraja,-8.11,115.09,75.52,72,27,3.85,ID,1595802543
129,Chokurdakh,70.63,147.92,43.32,79,99,16.11,RU,1595802382
130,Cosalá,24.41,-106.69,90.0,71,79,8.01,MX,1595802545
131,Macao,22.2,113.55,86.0,89,20,8.05,MO,1595802204
132,Vardø,70.37,31.11,62.6,82,40,9.17,NO,1595802438
133,Ostrovskoye,57.81,42.24,54.52,88,0,2.06,RU,1595802545
134,Hasaki,35.73,140.83,79.0,88,75,5.82,JP,1595802277
135,Fort Nelson,58.81,-122.7,78.8,41,20,5.82,CA,1595802413
136,Balaguer,41.79,0.81,82.0,78,0,9.17,ES,1595802547
137,Saint-Philippe,-21.36,55.77,66.99,77,66,4.7,RE,1595802379
138,Saskylakh,71.92,114.08,37.78,94,100,18.39,RU,1595802352
139,Gouyave,12.16,-61.73,86.0,70,20,11.41,GD,1595802548
140,Sambava,-14.27,50.17,68.18,90,100,13.24,MG,1595802420
141,Ponta do Sol,32.67,-17.1,69.8,68,20,18.34,PT,1595802259
142,São João da Barra,-21.64,-41.05,73.4,88,75,13.87,BR,1595802211
143,Nikolskoye,59.7,30.79,57.0,87,0,1.68,RU,1595802094
144,Cape Town,-33.93,18.42,54.0,71,20,9.17,ZA,1595802351
145,Jipijapa,-1.33,-80.58,75.2,78,75,4.7,EC,1595802550
146,Bilibino,68.05,166.44,79.65,29,5,24.11,RU,1595802360
147,Emba,48.83,58.14,68.0,53,0,7.56,KZ,1595802551
148,Ancud,-41.87,-73.82,43.0,75,75,12.75,CL,1595802262
149,Elk City,35.41,-99.4,93.2,41,1,11.41,US,1595802551
150,Acurenam,1.03,10.65,66.88,99,96,2.66,GQ,1595802552
151,Ilave,-16.08,-69.67,47.34,46,0,5.66,PE,1595802552
152,Kungurtug,50.6,97.52,47.98,76,0,2.01,RU,1595802552
153,Riyadh,24.69,46.72,91.4,33,12,6.13,SA,1595802326
154,Cherskiy,68.75,161.3,78.49,35,6,15.75,RU,1595802248
155,Muros,42.78,-9.06,69.01,74,0,4.0,ES,1595802554
156,Nanga Eboko,4.68,12.37,67.66,96,100,2.95,CM,1595802554
157,Promyshlennyy,67.58,63.92,46.13,90,0,4.9,RU,1595802555
158,Paamiut,61.99,-49.67,46.67,88,15,3.58,GL,1595802279
159,Sydney,-33.87,151.21,62.01,99,100,1.99,AU,1595802289
160,Puerto Baquerizo Moreno,-0.9,-89.6,73.4,73,40,10.29,EC,1595802315
161,Nampula,-15.12,39.27,66.2,82,75,5.82,MZ,1595802556
162,Marsh Harbour,26.54,-77.06,84.13,76,99,11.61,BS,1595802556
163,Kavieng,-2.57,150.8,82.83,76,100,8.03,PG,1595802381
164,Lüderitz,-26.65,15.16,62.6,63,0,6.93,NA,1595802400
165,Bukama,-9.2,25.85,64.33,40,30,3.47,CD,1595802557
166,Farafangana,-22.82,47.83,61.09,86,0,5.44,MG,1595802558
167,Santa Rosa,14.31,121.11,80.6,88,42,1.12,PH,1595802254
168,Henties Bay,-22.12,14.28,60.01,85,0,5.44,NA,1595802427
169,Vaini,-21.2,-175.2,71.6,83,75,9.17,TO,1595802375
170,Tsiroanomandidy,-18.77,46.03,53.17,76,0,5.14,MG,1595802559
171,Westport,41.14,-73.36,91.0,51,0,9.75,US,1595802365
172,Lorengau,-2.02,147.27,82.6,79,100,7.14,PG,1595802409
173,Sept-Îles,50.2,-66.38,71.6,56,75,8.05,CA,1595802560
174,Avarua,-21.21,-159.78,71.6,88,96,5.82,CK,1595802226
175,Pimentel,-6.84,-79.93,66.2,68,10,21.92,PE,1595802561
176,Yantal',56.85,105.25,54.99,76,100,0.76,RU,1595802561
177,Talara,-4.58,-81.27,65.23,81,4,16.51,PE,1595802561
178,Faya,18.39,42.45,69.8,72,40,5.82,SA,1595802382
179,Tiksi,71.69,128.87,37.13,94,100,12.75,RU,1595802246
180,Hofn,64.25,-15.21,48.63,70,100,11.56,IS,1595802359
181,Alofi,-19.06,-169.92,75.2,88,57,13.87,NU,1595802402
182,Cururupu,-1.83,-44.87,75.79,75,14,2.55,BR,1595802563
183,Tashara,55.52,83.51,51.28,90,88,2.42,RU,1595802564
184,Tanete,-3.94,119.78,74.57,90,82,9.06,ID,1595802564
185,Yebaishou,41.4,119.64,67.89,77,100,3.65,CN,1595802564
186,Port Hardy,50.7,-127.42,59.0,87,40,4.7,CA,1595802355
187,Ribeira Grande,38.52,-28.7,73.31,90,55,5.28,PT,1595802388
188,Murgab,37.5,61.97,82.4,37,0,4.7,TM,1595802565
189,Pisco,-13.7,-76.22,64.4,72,75,8.05,PE,1595802232
190,Igarka,67.47,86.58,48.9,72,78,6.29,RU,1595802271
191,Vitim,59.45,112.56,59.74,67,100,7.58,RU,1595802380
192,Roebourne,-20.78,117.13,62.98,31,38,11.61,AU,1595802435
193,Upernavik,72.79,-56.15,44.91,86,91,5.82,GL,1595802403
194,Zatoka,46.07,30.47,82.0,28,20,11.18,UA,1595802567
195,Praia da Vitória,38.73,-27.07,77.0,78,40,5.73,PT,1595802568
196,Muaná,-1.53,-49.22,80.98,68,52,3.4,BR,1595802568
197,Husavik,66.04,-17.34,46.4,75,75,8.05,IS,1595802569
198,Guerrero Negro,27.98,-114.06,79.11,52,0,19.13,MX,1595802368
199,Cidreira,-30.18,-50.21,57.54,81,100,15.1,BR,1595802364
200,Anadyr,64.75,177.48,66.2,77,43,11.18,RU,1595802364
201,Boussé,12.66,-1.89,73.4,100,40,5.82,BF,1595802570
202,Ban Dung,17.7,103.26,82.99,79,100,2.35,TH,1595802570
203,Santa Cruz de Barahona,18.21,-71.1,86.0,79,40,18.34,DO,1595802571
204,Severnyy,50.68,36.55,64.4,59,59,8.95,RU,1595802571
205,Hobyo,5.35,48.53,77.74,75,18,20.98,SO,1595802362
206,Asău,46.43,26.4,62.01,82,96,3.04,RO,1595802572
207,Tyumentsevo,53.32,81.5,54.16,91,0,0.63,RU,1595802572
208,Guanaja,16.4,-85.9,84.6,77,89,30.33,HN,1595802573
209,Qaanaaq,77.48,-69.36,46.78,54,0,5.41,GL,1595802350
210,Aloleng,16.13,119.78,81.9,80,62,4.7,PH,1595802573
211,Kaitangata,-46.28,169.85,46.0,76,0,4.0,NZ,1595802384
212,São Miguel do Araguaia,-13.28,-50.16,76.1,32,0,3.87,BR,1595802574
213,Gönen,40.1,27.65,69.8,73,0,1.25,TR,1595802575
214,Severo-Kuril'sk,50.68,156.12,52.03,89,99,17.2,RU,1595802387
215,Tura,25.52,90.22,76.15,91,94,2.8,IN,1595802575
216,Torbay,47.67,-52.73,57.99,100,90,13.87,CA,1595802356
217,Caucayá,-0.19,-74.78,79.52,87,47,0.63,CO,1595802576
218,Malbork,54.04,19.03,64.0,100,100,6.96,PL,1595802577
219,Ubinskoye,55.31,79.68,51.55,89,90,3.02,RU,1595802577
220,Hokitika,-42.72,170.97,48.07,66,0,3.09,NZ,1595802561
221,Hay River,60.82,-115.8,73.4,56,40,13.87,CA,1595802551
222,São Filipe,14.9,-24.5,76.26,85,94,6.67,CV,1595802228
223,Chernyshevsk,52.52,117.02,66.33,91,79,4.5,RU,1595802579
224,Yar-Sale,66.83,70.83,45.81,83,14,8.46,RU,1595802410
225,Amahai,-3.33,128.92,76.62,85,90,4.65,ID,1595802580
226,Emerald,-23.53,148.17,54.0,66,30,1.12,AU,1595802237
227,Caravelas,-17.71,-39.25,71.01,85,4,5.41,BR,1595802581
228,Yumen,40.28,97.2,69.24,24,0,4.32,CN,1595802264
229,Winder,33.99,-83.72,91.99,43,1,3.36,US,1595802581
230,Rocha,-34.48,-54.33,47.19,89,100,7.87,UY,1595802251
231,Abu Dhabi,24.47,54.37,93.2,63,78,6.93,AE,1595802378
232,Avera,33.19,-82.53,89.6,55,90,5.82,US,1595802411
233,Tranås,58.04,14.98,57.2,100,100,4.7,SE,1595802583
234,Russell,32.35,-85.2,87.8,55,1,4.7,US,1595802440
235,Meulaboh,4.14,96.13,75.43,88,100,5.03,ID,1595802424
236,Klaksvík,62.23,-6.59,51.8,76,100,12.75,FO,1595802584
237,Olinda,-8.01,-34.86,78.8,69,40,11.41,BR,1595802584
238,São Domingos,-13.4,-46.32,71.96,46,0,6.82,BR,1595802584
239,Rozkishne,48.5,37.59,70.0,48,72,9.95,UA,1595802585
240,Los Llanos de Aridane,28.66,-17.92,71.6,73,40,16.11,ES,1595802580
241,Half Moon Bay,37.46,-122.43,81.0,60,5,10.29,US,1595802419
242,Zaritap,39.64,45.51,78.8,50,0,6.93,AM,1595802585
243,Makīnsk,52.63,70.42,55.08,85,86,5.35,KZ,1595802586
244,Bandarbeyla,9.49,50.81,79.29,71,0,22.5,SO,1595802393
245,Manta,-0.95,-80.73,75.2,78,75,4.7,EC,1595802586
246,Ballina,-28.87,153.57,60.8,55,2,20.8,AU,1595802587
247,Yarmouth,41.71,-70.23,86.0,58,1,14.99,US,1595802587
248,Chacabuco,-34.64,-60.47,48.99,61,16,4.0,AR,1595802587
249,Votkinsk,57.05,53.99,57.99,95,57,5.7,RU,1595802588
250,Sirte,31.21,16.59,77.68,86,0,8.9,LY,1595802588
251,Strezhevoy,60.73,77.59,55.4,82,20,6.71,RU,1595802589
252,Burnie,-41.07,145.92,50.0,81,100,5.23,AU,1595802326
253,Megion,61.03,76.11,55.4,82,2,6.71,RU,1595802589
254,Constitución,-35.33,-72.42,52.9,89,100,5.39,CL,1595802352
255,Lima,-12.04,-77.03,59.0,87,90,8.05,PE,1595802470
256,Brae,60.4,-1.35,53.6,87,54,8.05,GB,1595802426
257,Geraldton,-28.77,114.6,53.6,76,0,17.22,AU,1595802417
258,Byron Bay,-28.65,153.62,60.8,55,13,20.8,AU,1595802423
259,Dawei,14.08,98.2,77.09,88,100,2.35,MM,1595802591
260,Caucaia,-3.74,-38.65,80.6,74,20,17.22,BR,1595802591
261,Laguna,38.42,-121.42,98.01,26,0,4.0,US,1595802325
262,Ahipara,-35.17,173.17,53.31,66,0,5.53,NZ,1595802278
263,Kudahuvadhoo,2.67,72.89,82.4,71,86,6.08,MV,1595802397
264,Chokwé,-24.53,32.98,58.91,79,0,5.41,MZ,1595802593
265,Muli,2.92,73.57,82.24,72,95,6.04,MV,1595802593
266,Conceição do Mato Dentro,-19.04,-43.42,63.28,86,57,4.29,BR,1595802594
267,Samarinda,-0.5,117.15,72.95,95,92,2.8,ID,1595802431
268,Cabo San Lucas,22.89,-109.91,89.6,52,5,9.17,MX,1595802233
269,Khandyga,62.67,135.6,67.33,73,19,2.33,RU,1595802595
270,Baruun-Urt,46.68,113.28,60.19,80,28,8.01,MN,1595802264
271,Wajima,37.4,136.9,74.61,90,86,8.9,JP,1595802405
272,Qasigiannguit,68.82,-51.19,44.6,93,100,3.36,GL,1595802361
273,Baoqing,46.33,132.21,70.0,86,0,5.86,CN,1595802596
274,Río Cuarto,-33.13,-64.35,57.2,35,38,5.26,AR,1595802596
275,Fukuechō,32.69,128.84,78.42,91,100,13.35,JP,1595802597
276,Costineşti,43.95,28.63,72.0,40,13,10.29,RO,1595802597
277,Oddur,4.12,43.89,72.03,79,33,14.79,SO,1595802598
278,Progreso,21.28,-89.67,86.0,70,75,18.34,MX,1595802598
279,Ilulissat,69.22,-51.1,44.6,93,100,3.36,GL,1595802385
280,Koslan,63.46,48.9,60.13,62,14,2.26,RU,1595802599
281,Pacific Grove,36.62,-121.92,73.0,64,1,12.75,US,1595802141
282,Tieling,42.29,123.84,69.8,94,100,4.5,CN,1595802600
283,Palmeirais,-5.98,-43.06,78.19,30,54,4.25,BR,1595802600
284,Tegul'det,57.31,88.17,49.98,96,42,4.38,RU,1595802601
285,Bafra,41.57,35.91,69.8,83,0,1.12,TR,1595802602
286,Mariehamn,60.1,19.93,62.6,82,96,8.05,AX,1595802602
287,Port Blair,11.67,92.75,81.81,77,100,1.45,IN,1595802368
288,Lavrentiya,65.58,-171.0,62.35,59,92,16.49,RU,1595802103
289,Vostok,46.49,135.88,70.95,66,0,1.05,RU,1595802603
290,Kieta,-6.22,155.63,82.33,73,98,6.51,PG,1595802419
291,Berlevåg,70.86,29.09,62.6,82,2,12.75,NO,1595802403
292,Ust-Kuyga,70.02,135.6,47.97,80,97,5.08,RU,1595802604
293,Deputatsky,69.3,139.9,56.14,73,36,4.63,RU,1595802370
294,Laja,-37.27,-72.7,51.8,87,75,4.54,CL,1595802605
295,Tiznit Province,29.58,-9.5,75.78,56,0,1.36,MA,1595802605
296,College,64.86,-147.8,68.0,67,75,4.7,US,1595802605
297,Morón,-34.65,-58.62,57.99,52,9,1.99,AR,1595802502
298,La Santisima Trinidad,-14.83,-64.9,71.6,68,57,2.75,BO,1595802606
299,Sourotí,40.47,23.09,78.01,73,26,4.7,GR,1595802606
300,Ponta Porã,-22.54,-55.73,68.0,68,100,5.95,BR,1595802320
301,Leningradskiy,69.38,178.42,66.49,49,61,9.28,RU,1595802394
302,Nanortalik,60.14,-45.24,45.99,83,42,3.8,GL,1595802360
303,Cartagena,10.4,-75.51,86.0,74,40,12.75,CO,1595802462
304,Tabuk,17.42,121.44,77.65,82,69,0.89,PH,1595802608
305,Egvekinot,66.32,-179.17,61.39,73,70,6.78,RU,1595802609
306,Salihli,38.48,28.15,77.0,10,0,58.0,TR,1595802609
307,Pszów,50.04,18.39,64.0,91,100,4.0,PL,1595802610
308,San Cristobal,7.77,-72.22,84.2,66,40,11.41,VE,1595802430
309,Tarakan,3.3,117.63,80.06,80,58,7.9,ID,1595802399
310,Guadalupe y Calvo,26.1,-106.97,67.95,83,77,2.57,MX,1595802611
311,Topolovgrad,42.08,26.33,69.8,68,5,4.7,BG,1595802612
312,Whitehorse,60.72,-135.05,66.2,42,75,11.41,CA,1595802368
313,Aklavik,68.22,-135.01,69.8,49,75,4.7,CA,1595802372
314,Linfen,36.09,111.52,73.87,73,5,2.24,CN,1595802612
315,San Andrés,12.58,-81.7,80.6,88,90,4.7,CO,1595802390
316,Krutikha,53.96,81.21,52.77,91,0,1.05,RU,1595802613
317,Souillac,-20.52,57.52,69.8,77,75,12.75,MU,1595802418
318,Mamakan,57.82,114.0,61.45,76,100,1.74,RU,1595802355
319,Coahuayana Viejo,18.73,-103.68,80.6,74,75,5.73,MX,1595802377
320,Rock Sound,24.9,-76.2,82.44,82,0,10.49,BS,1595802615
321,Huarmey,-10.07,-78.15,63.1,77,2,8.57,PE,1595802616
322,Koszalin,54.19,16.17,66.0,78,59,5.44,PL,1595802616
323,São Gabriel da Cachoeira,-0.13,-67.09,75.69,93,90,2.39,BR,1595802617
324,Lebu,-37.62,-73.65,50.2,81,97,10.11,CL,1595802394
325,Cayenne,4.93,-52.33,78.8,88,64,9.42,GF,1595802399
326,La Sarre,48.8,-79.2,80.29,81,10,5.59,CA,1595802322
327,Havelock,34.88,-76.9,88.0,68,15,10.0,US,1595802434
328,Saldanha,-33.01,17.94,48.2,81,0,5.82,ZA,1595802225
329,Launceston,-41.45,147.17,46.0,100,90,3.36,AU,1595802364
330,Shimoda,34.67,138.95,77.0,87,99,1.99,JP,1595802415
331,Kavaratti,10.57,72.64,81.3,81,54,12.46,IN,1595802619
332,Bairiki Village,1.33,172.98,86.0,74,40,8.05,KI,1595802620
333,Beloha,-25.17,45.05,59.45,56,0,6.13,MG,1595802266
334,Batagay-Alyta,67.8,130.41,61.9,41,97,12.39,RU,1595802621
335,Jinhua,29.11,119.65,80.08,86,100,1.07,CN,1595802621
336,Wau,7.7,28.0,68.83,97,49,4.18,SS,1595802622
337,Alta Floresta,-9.88,-56.09,89.6,29,20,5.82,BR,1595802622
338,Mount Isa,-20.73,139.5,53.6,45,0,9.17,AU,1595802388
339,Young,-32.68,-57.63,55.99,64,19,1.99,UY,1595802623
340,Kumul,42.8,93.45,82.17,19,0,18.12,CN,1595802396
341,Zhezkazgan,47.8,67.71,73.9,34,78,10.83,KZ,1595802432
342,Esperance,-33.87,121.9,50.0,87,86,20.8,AU,1595802401
343,Norman Wells,65.28,-126.83,73.4,43,75,12.75,CA,1595802379
344,Dryden,49.78,-92.75,78.8,36,1,19.46,CA,1595802396
345,Missoula,47.02,-113.8,87.8,18,1,3.36,US,1595802625
346,Buala,-8.14,159.59,82.33,80,69,11.16,SB,1595802405
347,Tuatapere,-46.13,167.68,39.0,83,1,3.0,NZ,1595802419
348,Kargasok,59.06,80.86,54.64,86,99,5.66,RU,1595802416
349,Tottori-shi,35.5,134.23,78.8,78,75,13.87,JP,1595802442
350,Longyearbyen,78.22,15.64,59.0,72,40,4.7,SJ,1595802421
351,Zilupe,56.39,28.12,55.85,89,16,3.83,LV,1595802627
352,Pachino,36.72,15.09,71.01,83,0,2.24,IT,1595802628
353,Hong Kong,22.29,114.16,86.0,74,43,8.99,HK,1595802239
354,Solnechnyy,50.72,136.63,62.15,95,100,1.52,RU,1595802567
355,Dolores,-36.31,-57.68,48.6,70,66,10.58,AR,1595802629
356,Katobu,-4.94,122.53,72.36,91,72,3.24,ID,1595802244
357,Jinchang,38.5,102.17,74.14,21,77,4.5,CN,1595802630
358,Ranong,9.97,98.63,79.03,79,53,2.86,TH,1595802630
359,Palatka,29.65,-81.64,84.0,65,1,4.7,US,1595802486
360,Vestmannaeyjar,63.44,-20.27,52.09,86,100,4.07,IS,1595802631
361,Mombaça,-5.74,-39.63,73.99,43,66,0.36,BR,1595802632
362,Antalaha,-14.9,50.28,68.23,90,100,9.78,MG,1595802632
363,Mahébourg,-20.41,57.7,69.8,77,75,12.75,MU,1595802350
364,Homer,59.64,-151.55,59.0,72,75,13.87,US,1595802633
365,Broken Hill,-31.95,141.43,46.4,87,75,12.75,AU,1595802633
366,Alice,27.75,-98.07,87.8,89,75,18.34,US,1595802633
367,Jinka,5.65,36.65,61.27,83,91,0.6,ET,1595802634
368,Coquimbo,-29.95,-71.34,59.0,67,51,4.7,CL,1595802385
369,Thanh Hoa,19.8,105.77,80.42,87,100,2.86,VN,1595802635
370,Fort Walton Beach,30.41,-86.62,78.8,78,40,6.93,US,1595802635
371,Kidal,18.44,1.41,92.07,36,91,11.68,ML,1595802636
372,Hlobyne,49.39,33.26,67.3,65,100,9.19,UA,1595802636
373,Dera Bugti,29.03,69.15,88.68,50,77,3.89,PK,1595802637
